a 阿啊呵锕吖腌嗄
ying 映瑛英应硬迎影鹰盈赢嬴瀛颍颖婴缨樱嘤撄瘿璎鹦营莹荧萦莺萤茔荥蓥滢蝇郢膺楹媵潆罂
yo 哟育唷
yong 用拥佣痈甬涌俑蛹踊勇恿雍臃壅饔永泳咏庸镛慵鳙墉邕喁场
you 有侑铕宥囿由油柚釉铀邮蚰鼬又尢犹优忧尤鱿疣友游蝣右佑幼蚴呦黝幽诱莠悠酉蝤攸猷牖鼢卣莸繇莜
yu 与屿欤于吁纡宇芋竽迂盂余馀狳玉钰鱼渔域雨雩育誉予妤豫预蓣语龉圄谷裕浴峪欲鹆俞喻蝓愉渝榆瑜揄谕觎嵛愈逾窬毓郁禹俣娱虞羽禺喁隅愚遇寓御狱於淤瘀昱煜舆尉蔚熨聿鹬臾谀腴萸庾瘐燠驭窳菀蜮妪伛圉鬻阈舁饫畲粥
yuan 元沅垸芫远园鼋原源塬螈愿员圆院袁猿辕缘掾橼垣渊苑箢爰援媛瑗怨眢冤鸳鸢圜
yue 月刖钥越樾约跃岳粤乐栎悦说阅曰钺瀹龠哕
yun 云耘酝纭运芸员陨殒郧恽郓晕愠韫蕴氲孕允狁匀韵均昀筠熨
za 杂扎咋匝砸咂拶
zai 在再哉栽载灾宰仔崽甾
zan 咱昝赞攒瓒簪趱拶暂糌錾
zang 脏臧藏葬赃奘驵
zao 枣早造糟遭灶凿噪澡躁燥缲藻皂唣蚤
ze 则侧泽择责赜啧帻箦咋舴迮笮仄昃
zei 贼
zen 怎谮
zeng 曾增赠憎缯罾综甑
zi 自子籽仔耔字资粢姿咨恣谘趑紫訾滋嵫孳淄鲻锱缁辎孜梓秭兹渍吱姊眦呲龇茈赀觜髭笫滓
zong 总宗综纵棕踪粽腙鬃偬枞
zou 走邹驺奏揍陬诹鲰鄹
zu 足组租祖阻俎诅菹族镞卒
zuan 钻赚攥纂缵躜
zui 最蕞罪觜嘴醉咀
zun 尊撙鳟樽遵
zuo 作昨柞祚怍胙阼笮做坐唑座左佐撮嘬琢凿
zha 扎轧札蜡乍炸诈咋蚱柞砟痄榨查楂渣揸喳齄闸咤栅眨铡吒喋哳
zhai 寨债摘翟祭瘵砦窄宅斋侧择
zhan 占站粘沾战毡展搌辗湛詹瞻谵斩崭颤栈盏蘸绽旃
zhang 长张账胀帐涨章蟑障漳樟璋幛嶂獐嫜彰鄣瘴仉掌丈仗杖
zhao 找赵着照兆朝嘲召昭招沼诏罩棹肇钊爪笊啁
zhe 这着者锗赭折浙哲蜇蛰蔗鹧遮辙柘辄谪磔褶
zhei 这
zhen 真镇缜稹针甄振赈震珍诊疹轸胗畛阵贞桢侦祯浈帧圳枕臻榛溱蓁斟椹箴鸩朕砧
zheng 正证政征怔钲整症郑争挣睁铮峥诤狰筝丁蒸拯鲭
zhi 至侄桎轾蛭致窒膣之芝只识职织帜轵枳制志支枝忮吱肢治直值植殖埴置质踬纸旨酯指脂知蜘智执止址趾祉芷滞郅汁掷踯炙稚峙痔雉挚秩栉痣彘骘贽鸷帙黹豸跖絷徵摭咫祗胝觯卮栀瘛氏
zhong 中忠种钟肿仲舯盅众重锺踵终衷冢忪螽
zhou 州洲周啁舟粥骤皱轴妯宙肘昼绉诌胄咒纣酎荮帚籀碡繇
zhu 主住驻柱注拄蛀炷疰诸猪渚褚潴槠煮箸著翥铸伫贮术橥朱珠株蛛侏诛洙铢邾茱助竹筑逐祝属嘱瞩躅烛竺杼舳苎麈瘃
zhua 爪抓挝
zhuai 拽转
zhuan 专转砖传啭撰馔赚篆沌颛
zhuang 装庄壮桩幢撞僮状妆奘戆
zhui 追缒坠椎锥骓隹缀惴
zhun 准谆屯肫窀
zhuo 着卓桌倬焯镯灼酌捉浊拙茁涿琢啄诼濯擢浞禚斫缴
